Label,X,Y
2,-0.16065744,-0.43598799
2,-0.22996315,-0.41533374
2,-0.26668237,-0.40491798
2,-0.16233785,-0.46756970
2,-0.33906881,-0.37431050
2,-0.27831147,-0.43350180
2,-0.27377334,-0.44826150
2,-0.40154679,-0.35406720
2,-0.42049977,-0.34741992
2,-0.31033056,-0.46080030
2,-0.42317692,-0.37535136
2,-0.34092100,-0.46397161
2,-0.38702628,-0.43981922
2,-0.55164600,-0.22550948
2,-0.45614985,-0.39904482
2,-0.51922247,-0.33175770
2,-0.46530324,-0.41916318
2,-0.59796143,-0.21771727
2,-0.49102779,-0.42048573
2,-0.64816012,-0.10472307
2,-0.60491197,-0.28022482
2,-0.67676661,0.00120197
2,-0.68279570,-0.07469017
2,-0.69149769,0.08716483
2,-0.65670929,-0.26207229
2,-0.69089905,-0.19233767
2,-0.72069732,0.09757556
2,-0.73435604,0.06664259
2,-0.66472959,0.34183778
2,-0.75467563,0.06622480
2,-0.76624463,0.04686983
2,-0.77777470,-0.00218941
2,-0.78033375,0.10877606
2,-0.77228598,0.20086343
2,-0.79331083,-0.15379378
2,-0.70252767,0.41937616
2,-0.79586830,0.22944737
2,-0.67730585,0.49410955
2,-0.77616238,0.34278054
2,-0.68937083,0.51179834
2,-0.69770063,0.51752363
2,-0.74964074,0.45859230
2,-0.62809638,0.62898203
2,-0.82284487,0.36208999
2,-0.73855949,0.53007185
2,-0.52642516,0.75351864
2,-0.52663879,0.76566111
2,-0.68540519,0.64240229
2,-0.84817889,0.42677069
2,-0.57832836,0.76574194
2,-0.83864044,0.48682072
2,-0.60714099,0.76901489
2,-0.45449957,0.87939192
2,-0.72371013,0.69010408
